DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF54B,HDA01 - 150W,5C-CF-7F-0A-F5-4B,L557,-24.245000,-50.747790,Klabin,HDA-150
0006E579,HDA01 - 150W,5C-CF-7F-06-E5-79,L534,-24.245005,-50.747790,Klabin,HDA-150
000AF5D7,HDA01 - 150W,5C-CF-7F-0A-F5-D7,L559,-24.245010,-50.747790,Klabin,HDA-150
0006E633,HDA01 - 150W,5C-CF-7F-06-E6-33,L538,-24.245015,-50.747790,Klabin,HDA-150
0006E528,HDA01 - 150W,5C-CF-7F-06-E5-28,L560,-24.245020,-50.747790,Klabin,HDA-150
0006E612,HDA01 - 150W,5C-CF-7F-06-E6-12,L562,-24.245025,-50.747790,Klabin,HDA-150
0006E690,HDA01 - 150W,5C-CF-7F-06-E6-90,L540,-24.245030,-50.747790,Klabin,HDA-150
0006E5DC,HDA01 - 150W,5C-CF-7F-06-E5-DC,L533,-24.245035,-50.747790,Klabin,HDA-150
000AF4B4,HDA01 - 150W,5C-CF-7F-0A-F4-B4,L552,-24.245040,-50.747790,Klabin,HDA-150
0006E712,HDA01 - 150W,5C-CF-7F-06-E7-12,L528,-24.245045,-50.747795,Klabin,HDA-150
0006E700,HDA01 - 150W,5C-CF-7F-06-E7-00,L537,-24.245050,-50.747795,Klabin,HDA-150
0006E6F7,HDA01 - 150W,5C-CF-7F-06-E6-F7,L525,-24.245055,-50.747795,Klabin,HDA-150
000AF6B2,HDA01 - 150W,5C-CF-7F-0A-F6-B2,L564,-24.245060,-50.747795,Klabin,HDA-150
000AF653,HDA01 - 150W,5C-CF-7F-0A-F6-53,L554,-24.245065,-50.747795,Klabin,HDA-150
0006E6CE,HDA01 - 150W,5C-CF-7F-06-E6-CE,L531,-24.245070,-50.747795,Klabin,HDA-150
0006E4B4,HDA01 - 150W,5C-CF-7F-06-E4-B4,L551,-24.245075,-50.747795,Klabin,HDA-150
0006E5EE,HDA01 - 150W,5C-CF-7F-06-E5-EE,L542,-24.245080,-50.747795,Klabin,HDA-150
0006E62C,HDA01 - 150W,5C-CF-7F-06-E6-2C,L549,-24.245085,-50.747795,Klabin,HDA-150
000AF606,HDA01 - 150W,5C-CF-7F-0A-F6-06,L539,-24.245090,-50.747800,Klabin,HDA-150
0006E4AF,HDA01 - 150W,5C-CF-7F-06-E4-AF,L558,-24.245095,-50.747800,Klabin,HDA-150
0006E378,HDA01 - 150W,5C-CF-7F-06-E3-78,L527,-24.245100,-50.747800,Klabin,HDA-150
0006E576,HDA01 - 150W,5C-CF-7F-06-E5-76,L536,-24.245105,-50.747800,Klabin,HDA-150
0006E5D7,HDA01 - 150W,5C-CF-7F-06-E5-D7,L530,-24.245110,-50.747800,Klabin,HDA-150
0006E455,HDA01 - 150W,5C-CF-7F-06-E4-55,L543,-24.245115,-50.747800,Klabin,HDA-150
000AF5BD,HDA01 - 150W,5C-CF-7F-0A-F5-BD,L556,-24.245120,-50.747800,Klabin,HDA-150
000AF58B,HDA01 - 150W,5C-CF-7F-0A-F5-8B,L541,-24.245125,-50.747800,Klabin,HDA-150
0006E6D3,HDA01 - 150W,5C-CF-7F-06-E6-D3,L563,-24.245130,-50.747800,Klabin,HDA-150
0006E702,HDA01 - 150W,5C-CF-7F-06-E7-02,L561,-24.245135,-50.747800,Klabin,HDA-150
0006E41C,HDA01 - 150W,5C-CF-7F-06-E4-1C,L526,-24.245140,-50.747805,Klabin,HDA-150
000AF494,HDA01 - 150W,5C-CF-7F-0A-F4-94,L532,-24.245145,-50.747805,Klabin,HDA-150
0006E70A,HDA01 - 150W,5C-CF-7F-06-E7-0A,L555,-24.245150,-50.747805,Klabin,HDA-150
0006E663,HDA01 - 150W,5C-CF-7F-06-E6-63,L545,-24.245155,-50.747805,Klabin,HDA-150
0006E696,HDA01 - 150W,5C-CF-7F-06-E6-96,L529,-24.245160,-50.747805,Klabin,HDA-150
0006E34E,HDA01 - 150W,5C-CF-7F-06-E3-4E,L607,-24.245165,-50.747805,Klabin,HDA-150
0006E68F,HDA01 - 150W,5C-CF-7F-06-E6-8F,L611,-24.245170,-50.747805,Klabin,HDA-150
0006E761,HDA01 - 150W,5C-CF-7F-06-E7-61,L631,-24.245175,-50.747805,Klabin,HDA-150
